seed,drift_detected,pre_recall,post_recall,recall_gain,pre_f1,post_f1,f1_gain,pre_auc,post_auc,auc_gain
1,False,0.589041095890411,0.726027397260274,0.136986301369863,0.7049180327868853,0.7910447761194029,0.08612674333251769,0.9405603716086275,0.976360247344596,0.035799875735968545
2,True,0.42857142857142855,0.6547619047619048,0.22619047619047622,0.5714285714285714,0.7236842105263158,0.15225563909774442,0.9287906928751999,0.9663171335706546,0.037526440695454744
3,True,0.5466666666666666,0.6533333333333333,0.10666666666666669,0.6776859504132231,0.7480916030534351,0.07040565264021204,0.92352422907489,0.9575917767988253,0.03406754772393539
4,True,0.6666666666666666,0.6818181818181818,0.015151515151515138,0.7586206896551724,0.7692307692307693,0.010610079575596898,0.9487342367777151,0.9387038082690256,-0.010030428508689515
5,True,0.4523809523809524,0.6071428571428571,0.1547619047619047,0.6031746031746031,0.723404255319149,0.12022965214454584,0.9334126117695987,0.9431209710958618,0.009708359326263127
6,True,0.5205479452054794,0.726027397260274,0.20547945205479456,0.6495726495726496,0.6883116883116883,0.03873903873903872,0.9316735522214975,0.9390012321519169,0.007327679930419384
7,False,0.6506024096385542,0.6987951807228916,0.048192771084337394,0.7605633802816901,0.7785234899328859,0.017960109651195766,0.9267352016762702,0.9580670508119434,0.03133184913567322
8,True,0.5178571428571429,0.6964285714285714,0.1785714285714285,0.6304347826086957,0.7428571428571429,0.1124223602484472,0.8803448558322412,0.925427998034076,0.04508314220183485
9,True,0.7671232876712328,0.7808219178082192,0.013698630136986356,0.8296296296296296,0.8201438848920863,-0.009485744737543267,0.9546176177084278,0.9675224530527079,0.012904835344280108
10,True,0.569620253164557,0.7848101265822784,0.21518987341772144,0.6976744186046512,0.8378378378378378,0.14016341923318665,0.94949241759619,0.9697678628622356,0.020275445266045633
11,True,0.5972222222222222,0.6527777777777778,0.05555555555555558,0.7049180327868853,0.734375,0.02945696721311475,0.9308226495726495,0.9537545787545787,0.02293192918192921
12,True,0.5384615384615384,0.7435897435897436,0.20512820512820518,0.6829268292682927,0.8226950354609929,0.13976820619270014,0.9399133338853467,0.9701360713201401,0.030222737434793423
13,True,0.5945945945945946,0.7297297297297297,0.1351351351351351,0.7213114754098361,0.8181818181818182,0.09687034277198214,0.9439727982292638,0.9725215517241379,0.02854875349487407
14,True,0.5692307692307692,0.7230769230769231,0.15384615384615385,0.7115384615384616,0.7833333333333333,0.07179487179487176,0.9111776283418075,0.967229785140233,0.056052156798425457
15,True,0.4444444444444444,0.7407407407407407,0.2962962962962963,0.5806451612903226,0.8,0.21935483870967742,0.926522633744856,0.9554115226337447,0.028888888888888742
16,True,0.5064935064935064,0.6753246753246753,0.1688311688311689,0.6554621848739496,0.7761194029850746,0.12065721811112506,0.9161243873397392,0.9569822501592224,0.040857862819483226
17,True,0.6162790697674418,0.7093023255813954,0.09302325581395354,0.7210884353741497,0.7870967741935484,0.06600833881939872,0.9060960355346795,0.9611530901386158,0.055057054603936284
18,True,0.6164383561643836,0.7123287671232876,0.09589041095890405,0.7317073170731707,0.7878787878787878,0.05617147080561713,0.9362053123955896,0.9592799866354828,0.023074674239893178
19,True,0.5842696629213483,0.6966292134831461,0.1123595505617978,0.7172413793103448,0.779874213836478,0.06263283452613322,0.9433431141010042,0.9663517736587228,0.02300865955771858
20,True,0.5,0.7162162162162162,0.21621621621621623,0.6379310344827587,0.803030303030303,0.1650992685475443,0.9452038335406536,0.9804223679746692,0.03521853443401557
21,False,0.5487804878048781,0.7195121951219512,0.1707317073170731,0.6976744186046512,0.8082191780821918,0.11054475947754061,0.9685791631623213,0.9759382884777124,0.0073591253153910685
22,True,0.5142857142857142,0.6142857142857143,0.10000000000000009,0.6545454545454545,0.7288135593220338,0.0742681047765793,0.8713520954420312,0.936127256041603,0.06477516059957178
23,True,0.5138888888888888,0.6666666666666666,0.1527777777777778,0.6666666666666666,0.7804878048780488,0.11382113821138218,0.9173603488230272,0.9306394072447859,0.013279058421758694
24,True,0.625,0.7840909090909091,0.15909090909090906,0.7432432432432432,0.8070175438596491,0.06377430061640588,0.9241053350880746,0.9524764628467302,0.02837112775865558
25,True,0.5068493150684932,0.726027397260274,0.2191780821917808,0.6607142857142857,0.7794117647058824,0.11869747899159666,0.9454674751104124,0.9724679991017291,0.027000523991316694
26,True,0.5694444444444444,0.7361111111111112,0.16666666666666674,0.7068965517241379,0.8091603053435115,0.10226375361937357,0.9780465949820789,0.9807497013142175,0.0027031063321385496
27,True,0.5405405405405406,0.7297297297297297,0.18918918918918914,0.6837606837606838,0.7769784172661871,0.09321773350550333,0.950880156472262,0.9795074679943101,0.028627311522048116
28,True,0.5428571428571428,0.7714285714285715,0.22857142857142865,0.6846846846846847,0.8307692307692308,0.14608454608454613,0.9369889877809624,0.9475033941771007,0.01051440639613832
29,True,0.42528735632183906,0.7241379310344828,0.2988505747126437,0.592,0.7924528301886793,0.20045283018867932,0.9356457646579504,0.9747151129054162,0.039069348247465885
30,True,0.5348837209302325,0.6395348837209303,0.10465116279069775,0.6715328467153284,0.738255033557047,0.0667221868417186,0.9568195428685498,0.9696701267591575,0.01285058389060778
